fiscal_year,effective_date,hud_area,median_family_income,household_size,income_limit_50_percent,income_limit_60_percent,core_challenge_threshold,source_pdf_page,source_url
2026,2026-05-01,"Boston-Cambridge-Quincy, MA-NH HMFA",164600,1,60000,72000,72000,130,https://www.huduser.gov/portal/datasets/mtsp/mtsp26/HERA-Income-Limits-Report-FY26.pdf
2026,2026-05-01,"Boston-Cambridge-Quincy, MA-NH HMFA",164600,2,68600,82320,82320,130,https://www.huduser.gov/portal/datasets/mtsp/mtsp26/HERA-Income-Limits-Report-FY26.pdf
2026,2026-05-01,"Boston-Cambridge-Quincy, MA-NH HMFA",164600,3,77150,92580,92580,130,https://www.huduser.gov/portal/datasets/mtsp/mtsp26/HERA-Income-Limits-Report-FY26.pdf
2026,2026-05-01,"Boston-Cambridge-Quincy, MA-NH HMFA",164600,4,85700,102840,102840,130,https://www.huduser.gov/portal/datasets/mtsp/mtsp26/HERA-Income-Limits-Report-FY26.pdf
2026,2026-05-01,"Boston-Cambridge-Quincy, MA-NH HMFA",164600,5,92600,111120,111120,130,https://www.huduser.gov/portal/datasets/mtsp/mtsp26/HERA-Income-Limits-Report-FY26.pdf
2026,2026-05-01,"Boston-Cambridge-Quincy, MA-NH HMFA",164600,6,99450,119340,119340,130,https://www.huduser.gov/portal/datasets/mtsp/mtsp26/HERA-Income-Limits-Report-FY26.pdf
2026,2026-05-01,"Boston-Cambridge-Quincy, MA-NH HMFA",164600,7,106300,127560,127560,130,https://www.huduser.gov/portal/datasets/mtsp/mtsp26/HERA-Income-Limits-Report-FY26.pdf
2026,2026-05-01,"Boston-Cambridge-Quincy, MA-NH HMFA",164600,8,113150,135780,135780,130,https://www.huduser.gov/portal/datasets/mtsp/mtsp26/HERA-Income-Limits-Report-FY26.pdf
